ID,TotalCases,TotalDeaths,TotalCases1M,TotalDeaths1M,TotalTests,TotalTests1M,Population,Continent,1CaseEvery,1DeathEvery,1TestEvery,AccessElectricity,GDP,GDPperCap,LifeExpect,DrsPer1k,NewInfecHIV,FertilityRate,UrbanPopulation,UrbanPopulationPerc,Latitude,Longitude
1,86087.0,4634.0,60.0,3.0,160000000.0,111163.0,1439323776.0,Asia,16719.0,310601.0,9.0,100.0,13894817110036.3,9976.67682180773,76.704,0.9186,1050.0,1.69,823827650.0,57.237132029423236,35.000074,104.999927
2,9801355.0,239829.0,29551.0,723.0,152050414.0,458433.0,331674530.0,North America,34.0,1383.0,2.0,100.0,20529049174601.5,62840.0202387954,78.5390243902439,1.9357,33000.0,1.7295,268720071.0,81.01920608736522,39.7837304,-100.4458825
3,8363412.0,124354.0,6040.0,90.0,112998959.0,81607.0,1384678624.0,Asia,166.0,11135.0,12.0,95.2358551025391,2713165057513.35,2005.86300452403,69.416,0.8571,1050.0,2.222,460295677.0,33.24205841138196,22.3511148,78.6677428
4,5590941.0,161170.0,26238.0,756.0,21900000.0,102777.0,213081672.0,South America,38.0,1322.0,10.0,100.0,1885482534238.33,9001.23424863499,75.672,2.1643,2300.0,1.73,181335507.0,85.10140984814498,-10.3333333,-53.2
6,1543321.0,38674.0,23626.0,592.0,16819377.0,257477.0,65323720.0,Europe,42.0,1689.0,4.0,100.0,2787863958885.49,41631.0907389044,82.7243902439024,3.2672,500.0,1.88,53870058.0,82.4663047358601,46.603354,1.8883335
7,1356798.0,38118.0,29016.0,815.0,18072174.0,386479.0,46761086.0,Europe,34.0,1227.0,3.0,100.0,1419735245004.7,30337.6791331632,83.4317073170732,3.4075,2600.0,1.26,37588424.0,80.38398423851832,39.3262345,-4.8380649
8,1205928.0,32520.0,26598.0,717.0,3114747.0,68699.0,45338767.0,South America,38.0,1394.0,15.0,100.0,519871519807.795,11683.9496216363,76.52,1.75935,5100.0,2.261,40877099.0,90.15926480753215,-34.9964963,-64.9672817
9,1108084.0,32013.0,21698.0,627.0,5215323.0,102122.0,51069547.0,South America,46.0,1595.0,10.0,99.9364471435547,333568926392.586,6718.58532391314,77.109,2.1848,10000.0,1.807,40105215.0,78.53058692688228,2.8894434,-73.783892
11,938405.0,92593.0,7252.0,716.0,2425553.0,18745.0,129399055.0,North America,138.0,1398.0,53.0,100.0,1220699479845.98,9673.44367360619,74.992,1.9357,1050.0,2.129,101149488.0,78.1686450492239,22.5000485,-100.0000375
12,911787.0,34671.0,27522.0,1047.0,4591407.0,138591.0,33129291.0,South America,36.0,956.0,7.0,95.2,222044970486.217,6941.23584763012,76.516,1.75935,3200.0,2.254,24921870.0,75.22608920305599,-6.8699697,-75.0458515
13,790374.0,39764.0,13079.0,658.0,16497767.0,273003.0,60430792.0,Europe,76.0,1520.0,4.0,100.0,2085764300862.27,34520.085162403,83.3463414634146,3.9774,2400.0,1.29,42559879.0,70.42747180940472,42.6384261,12.674297
14,730548.0,19585.0,12265.0,329.0,4893683.0,82156.0,59565429.0,Africa,82.0,3041.0,12.0,91.2298736572266,368288939768.322,6374.02819575944,63.857,0.1565,190000.0,2.405,38339668.0,64.3656373229512,-28.8166236,24.991639
